,season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
5448,2019,REG,13,Curtis Samuel,WR,CAR,7.4142857142857155,3.2708095548301626,16.935714285714287,27.90856443335374,4,7,57.14285714285714,65.0,1,2.42,2.745240333086116,-0.325240333086116,00-0033282,Curtis,Samuel,10,C.Samuel
5449,2019,REG,13,Chris Conley,WR,JAX,7.369999999999999,2.828486271367863,7.038000000000001,17.212032281731474,4,5,80.0,57.0,0,7.399999999999999,4.566061068230056,2.833938931769943,00-0032128,Christian,Conley,18,C.Conley
5450,2019,REG,13,Robert Woods,WR,LAR,7.2011111111111115,3.8279888155081476,3.662222222222223,36.84122282456829,13,18,72.22222222222221,172.0,0,10.492307692307692,6.246297833134439,4.246009859173253,00-0030431,Robert,Woods,17,R.Woods
5451,2019,REG,13,Jason Witten,TE,DAL,7.146666666666666,3.8339450726197364,6.445,13.135636400692954,6,8,75.0,42.0,1,1.9766666666666668,2.428340273173035,-0.451673606506368,00-0022127,Christopher,Witten,82,J.Witten
5452,2019,REG,13,Odell Beckham,WR,CLE,7.1450000000000005,1.6907385936653823,23.310000000000002,37.96726117762034,3,6,50.0,29.0,0,-0.033333333333333805,1.0174796561444357,-1.0508129894777696,00-0031235,Odell,Beckham,13,O.Beckham
5453,2019,REG,13,Danny Amendola,WR,DET,7.1025,1.7338367441153206,7.900000000000002,19.6829549347535,3,8,37.5,32.0,0,-0.013333333333334233,0.7186722750825917,-0.7320056084159259,00-0026035,Daniel,Amendola,80,D.Amendola
5454,2019,REG,13,Cooper Kupp,WR,LAR,6.9316666666666675,3.3722921575149667,8.583333333333332,28.782205331693966,6,6,100.0,65.0,1,2.696666666666667,2.4493972953667558,0.24726937129991144,00-0033908,Cooper,Kupp,18,C.Kupp
5455,2019,REG,13,Jakobi Meyers,WR,NE,6.840000000000001,2.602097134385052,13.66285714285714,20.425859086346453,3,7,42.857142857142854,46.0,0,0.6200000000000022,1.7303152312271457,-1.1103152312271436,00-0034960,Jakobi,Meyers,16,J.Meyers
5456,2019,REG,13,Kelvin Harmon,WR,WAS,6.772,3.817585222494823,8.510000000000002,20.045225420455083,3,5,60.0,51.0,0,7.079999999999998,5.5697372787789545,1.5102627212210438,00-0035297,Kelvin,Harmon,13,K.Harmon
5457,2019,REG,13,Tyreek Hill,WR,KC,6.74,4.124838398002093,6.050000000000001,22.367022505661076,5,8,62.5,55.0,0,7.464,5.807683968348266,1.656316031651734,00-0033040,Tyreek,Hill,10,T.Hill
5458,2019,REG,13,Keenan Allen,WR,LAC,6.685,3.6025495057871137,7.81,23.192279138827022,6,6,100.0,68.0,1,3.5233333333333334,3.360515136624334,0.16281819670899944,00-0030279,Keenan,Allen,13,K.Allen
5459,2019,REG,13,Davante Adams,WR,GB,6.658000000000001,2.9917985679751826,7.625,27.895661081437034,6,10,60.0,64.0,2,3.6216666666666675,3.203912625060923,0.4177540416057446,00-0031381,Davante,Adams,17,D.Adams
5460,2019,REG,13,Mark Andrews,TE,BAL,6.625,1.5020193474391539,14.088333333333333,44.37270341207349,3,6,50.0,50.0,1,2.176666666666667,0.7080145205005314,1.4686521461661357,00-0034753,Mark,Andrews,89,M.Andrews
5461,2019,REG,13,Cole Beasley,WR,BUF,6.425,3.5060764453207427,8.702857142857145,28.60899783976707,6,7,85.71428571428571,110.0,1,8.788333333333332,6.258729094011869,2.529604239321463,00-0029000,Cole,Beasley,10,C.Beasley
5462,2019,REG,13,Auden Tate,WR,CIN,6.321428571428571,0.8099934779137056,13.135714285714286,30.155450609996066,4,7,57.14285714285714,66.0,0,3.5624999999999982,1.085640706550862,2.4768592934491362,00-0034686,Audeen,Tate,19,A.Tate
5463,2019,REG,13,Jamison Crowder,WR,NYJ,6.321428571428571,3.0225254276008067,9.266666666666667,19.68002265326349,2,9,22.22222222222222,8.0,0,6.41,4.533479851894299,1.8765201481057012,00-0031941,Jamison,Crowder,82,J.Crowder
5464,2019,REG,13,Phillip Dorsett,WR,NE,6.31,2.270015782879533,18.465,23.661448433462187,2,6,33.33333333333333,15.0,0,-0.5800000000000001,0.7786666253728356,-1.3586666253728357,00-0032208,Phillip,Dorsett,13,P.Dorsett
5465,2019,REG,13,Zach Pascal,WR,IND,6.279999999999999,3.421667275322116,12.386,42.748671222475316,7,10,70.0,109.0,0,7.280000000000001,7.079287087525829,0.200712912474172,00-0033251,Zachary,Pascal,14,Z.Pascal
5466,2019,REG,13,Demaryius Thomas,WR,NYJ,6.175,3.024899925887497,13.886,16.38350087309453,3,5,60.0,23.0,0,3.426666666666667,3.7678078903675973,-0.34114122370093014,00-0027874,Demaryius,Thomas,18,D.Thomas
5467,2019,REG,13,Kenny Golladay,WR,DET,6.1739999999999995,3.7305759680014745,27.622000000000003,43.012862437322866,4,5,80.0,158.0,1,12.5025,11.132126464312591,1.370373535687408,00-0033932,Kenneth,Golladay,19,K.Golladay
5468,2019,REG,13,Jared Cook,TE,NO,6.145,3.224300624387513,11.530000000000001,40.98341232227488,3,6,50.0,85.0,0,17.756666666666664,7.691657773068073,10.065008893598591,00-0027061,Jared,Cook,87,J.Cook
5469,2019,REG,13,Kyle Rudolph,TE,MIN,6.09,1.393884811804096,12.901666666666666,29.02076928844568,4,6,66.66666666666666,50.0,1,3.4525000000000023,2.5519777437176003,0.900522256282402,00-0027981,Kyle,Rudolph,82,K.Rudolph
5470,2019,REG,13,Ryan Griffin,TE,NYJ,6.0024999999999995,3.342344692424264,6.245714285714285,10.316673745811505,5,7,71.42857142857143,30.0,0,2.160000000000001,3.8608863270536404,-1.7008863270536394,00-0030108,Ryan,Griffin,84,R.Griffin
5471,2019,REG,13,Tyler Boyd,WR,CIN,5.91625,2.1935652557833065,14.436000000000002,47.34356552538371,5,10,50.0,59.0,1,1.4919999999999987,1.5859363379853675,-0.09393633798536882,00-0033009,Tyler,Boyd,83,T.Boyd
