,season,week,team,players_out_total,players_questionable_total,players_doubtful_total,players_full_total,players_none_total,players_limit_total
2459,2022.0,10.0,LAR,2,3,2,0,5,3
2460,2022.0,10.0,LV,0,1,0,3,1,3
2461,2022.0,10.0,MIA,1,5,0,4,3,5
2462,2022.0,10.0,MIN,2,0,0,2,2,0
2463,2022.0,10.0,NO,5,4,0,2,8,2
2464,2022.0,10.0,NYG,2,3,0,1,2,4
2465,2022.0,10.0,PHI,2,0,0,1,2,11
2466,2022.0,10.0,PIT,3,2,0,6,3,2
2467,2022.0,10.0,SEA,1,1,0,12,2,0
2468,2022.0,10.0,SF,2,0,1,7,4,0
2469,2022.0,10.0,TB,3,1,0,6,3,1
2470,2022.0,10.0,TEN,5,3,0,8,6,5
2471,2022.0,10.0,WAS,3,2,0,1,4,1
2472,2022.0,11.0,ARI,3,3,0,4,3,3
2473,2022.0,11.0,ATL,1,2,0,0,2,2
2474,2022.0,11.0,BAL,0,3,1,1,7,1
2475,2022.0,11.0,BUF,3,3,0,7,4,3
2476,2022.0,11.0,CAR,3,2,1,6,4,0
2477,2022.0,11.0,CHI,2,3,0,6,1,1
2478,2022.0,11.0,CIN,3,2,0,3,4,3
2479,2022.0,11.0,CLE,4,1,0,5,7,2
2480,2022.0,11.0,DAL,0,6,0,3,2,3
2481,2022.0,11.0,DEN,5,5,0,6,5,5
2482,2022.0,11.0,DET,2,4,0,7,4,2
2483,2022.0,11.0,GB,2,2,1,7,4,6
2484,2022.0,11.0,HOU,2,1,0,7,4,1
2485,2022.0,11.0,IND,2,3,0,10,5,0
2486,2022.0,11.0,KC,2,0,0,3,2,3
2487,2022.0,11.0,LAC,0,3,1,8,0,1
2488,2022.0,11.0,LAR,2,2,0,3,4,0
2489,2022.0,11.0,LV,0,4,0,7,0,3
2490,2022.0,11.0,MIN,2,1,0,2,2,1
2491,2022.0,11.0,NE,1,3,1,0,3,5
2492,2022.0,11.0,NO,7,1,0,1,7,5
2493,2022.0,11.0,NYG,1,5,1,2,2,6
2494,2022.0,11.0,NYJ,2,1,1,1,3,1
2495,2022.0,11.0,PHI,1,0,0,7,1,7
2496,2022.0,11.0,PIT,1,0,0,10,1,0
2497,2022.0,11.0,SF,1,1,0,4,1,1
2498,2022.0,11.0,TEN,5,2,0,9,6,2
2499,2022.0,11.0,WAS,3,3,0,3,3,4
2500,2022.0,12.0,ARI,5,2,0,4,7,0
2501,2022.0,12.0,ATL,0,4,1,0,1,5
2502,2022.0,12.0,BAL,2,5,0,4,7,2
2503,2022.0,12.0,BUF,2,1,1,5,4,1
2504,2022.0,12.0,CAR,3,3,2,5,8,1
2505,2022.0,12.0,CHI,3,1,0,2,3,1
2506,2022.0,12.0,CIN,1,4,0,7,1,2
2507,2022.0,12.0,CLE,1,0,0,9,1,4
2508,2022.0,12.0,DAL,1,7,2,2,5,5
2509,2022.0,12.0,DEN,4,2,0,6,4,2
2510,2022.0,12.0,DET,5,1,0,4,5,1
2511,2022.0,12.0,GB,1,2,1,10,1,7
2512,2022.0,12.0,HOU,1,0,0,2,2,0
2513,2022.0,12.0,IND,0,5,0,7,4,0
2514,2022.0,12.0,KC,1,3,0,7,4,1
2515,2022.0,12.0,LAC,1,1,1,8,2,1
2516,2022.0,12.0,LAR,4,4,0,1,6,3
2517,2022.0,12.0,LV,0,4,0,1,0,4
2518,2022.0,12.0,MIA,0,1,1,8,1,4
2519,2022.0,12.0,MIN,3,1,0,2,2,2
2520,2022.0,12.0,NE,1,4,0,0,1,6
2521,2022.0,12.0,NO,3,6,0,3,3,6
2522,2022.0,12.0,NYG,7,5,0,0,7,5
2523,2022.0,12.0,NYJ,1,1,1,5,2,0
2524,2022.0,12.0,PHI,0,0,0,3,0,8
2525,2022.0,12.0,PIT,2,2,0,5,2,3
2526,2022.0,12.0,SEA,1,1,0,4,3,0
2527,2022.0,12.0,SF,0,1,1,2,0,2
2528,2022.0,12.0,TB,2,1,1,4,4,3
2529,2022.0,12.0,TEN,1,5,0,6,2,3
2530,2022.0,12.0,WAS,3,2,0,4,4,1
2531,2022.0,13.0,ATL,0,3,0,0,2,2
2532,2022.0,13.0,BAL,1,4,0,8,6,1
2533,2022.0,13.0,BUF,2,1,0,12,4,0
2534,2022.0,13.0,CHI,4,2,0,6,4,0
2535,2022.0,13.0,CIN,0,3,0,3,1,3
2536,2022.0,13.0,CLE,1,0,0,4,5,3
2537,2022.0,13.0,DAL,0,5,0,2,0,5
2538,2022.0,13.0,DEN,4,3,0,6,5,3
2539,2022.0,13.0,DET,2,0,0,7,2,0
2540,2022.0,13.0,GB,1,2,1,4,1,7
2541,2022.0,13.0,HOU,2,1,0,5,5,0
2542,2022.0,13.0,IND,2,2,0,7,2,0
2543,2022.0,13.0,JAX,0,4,0,1,1,3
2544,2022.0,13.0,KC,1,2,0,12,1,1
2545,2022.0,13.0,LAC,3,3,0,7,5,0
2546,2022.0,13.0,LAR,5,3,0,2,7,3
2547,2022.0,13.0,LV,2,5,0,5,2,5
2548,2022.0,13.0,MIA,1,2,1,8,2,3
2549,2022.0,13.0,MIN,2,1,0,3,2,1
2550,2022.0,13.0,NE,2,7,0,1,2,6
2551,2022.0,13.0,NO,4,6,0,3,5,7
2552,2022.0,13.0,NYG,3,11,0,4,4,8
2553,2022.0,13.0,NYJ,1,1,2,4,3,0
2554,2022.0,13.0,PHI,2,0,0,3,2,10
2555,2022.0,13.0,PIT,1,3,0,8,3,2
2556,2022.0,13.0,SEA,0,3,0,12,1,1
2557,2022.0,13.0,SF,1,4,0,3,2,3
2558,2022.0,13.0,TB,1,6,3,8,4,3
2559,2022.0,13.0,TEN,3,2,0,4,3,4
2560,2022.0,13.0,WAS,3,2,0,2,3,2
2561,2022.0,14.0,ARI,3,3,0,3,4,2
2562,2022.0,14.0,BAL,1,5,1,6,8,1
2563,2022.0,14.0,BUF,2,2,0,6,5,1
2564,2022.0,14.0,CAR,0,4,0,7,1,2
2565,2022.0,14.0,CIN,1,0,0,5,1,3
2566,2022.0,14.0,CLE,0,1,0,4,7,3
2567,2022.0,14.0,DAL,1,1,0,6,2,0
2568,2022.0,14.0,DEN,3,4,0,11,4,2
2569,2022.0,14.0,DET,3,4,1,5,5,3
2570,2022.0,14.0,HOU,4,2,0,4,6,1
2571,2022.0,14.0,JAX,1,3,0,0,1,3
2572,2022.0,14.0,KC,0,2,0,12,0,1
2573,2022.0,14.0,LAC,0,1,4,8,5,0
2574,2022.0,14.0,LAR,4,4,0,4,5,3
2575,2022.0,14.0,LV,4,2,0,8,4,3
2576,2022.0,14.0,MIA,0,4,1,8,2,5
2577,2022.0,14.0,MIN,1,3,0,6,1,2
2578,2022.0,14.0,NE,3,2,1,0,4,2
2579,2022.0,14.0,NYG,3,1,1,8,5,1
2580,2022.0,14.0,NYJ,0,1,0,6,1,0
2581,2022.0,14.0,PHI,1,1,0,2,1,10
2582,2022.0,14.0,PIT,0,3,0,5,0,2
2583,2022.0,14.0,SEA,0,5,0,10,3,1
2584,2022.0,14.0,SF,3,1,0,5,4,0
2585,2022.0,14.0,TB,0,3,3,2,5,1
2586,2022.0,14.0,TEN,6,3,0,2,6,5
2587,2022.0,15.0,ARI,2,5,0,2,3,4
2588,2022.0,15.0,ATL,1,0,0,1,2,0
2589,2022.0,15.0,BAL,1,3,0,5,6,0
2590,2022.0,15.0,BUF,2,0,0,5,5,1
2591,2022.0,15.0,CAR,1,3,0,3,4,2
2592,2022.0,15.0,CHI,2,2,1,6,2,1
2593,2022.0,15.0,CIN,3,3,1,7,4,1
2594,2022.0,15.0,CLE,0,1,0,10,1,1
2595,2022.0,15.0,DAL,1,1,0,3,2,1
2596,2022.0,15.0,DEN,3,5,0,6,4,3
2597,2022.0,15.0,DET,2,5,1,4,4,3
2598,2022.0,15.0,GB,1,0,0,7,1,2
2599,2022.0,15.0,HOU,7,1,0,4,8,3
2600,2022.0,15.0,IND,2,0,1,1,3,0
2601,2022.0,15.0,JAX,0,6,0,1,1,5
2602,2022.0,15.0,KC,0,2,0,12,1,1
2603,2022.0,15.0,LAC,0,3,1,5,1,1
2604,2022.0,15.0,LAR,5,1,0,2,6,3
2605,2022.0,15.0,LV,2,5,0,3,2,5
2606,2022.0,15.0,MIA,2,3,1,5,3,4
2607,2022.0,15.0,MIN,0,5,0,4,2,4
2608,2022.0,15.0,NE,3,6,0,1,3,6
2609,2022.0,15.0,NO,2,6,0,3,5,4
2610,2022.0,15.0,NYG,3,5,0,5,4,3
2611,2022.0,15.0,NYJ,3,2,0,4,5,0
2612,2022.0,15.0,PHI,1,0,0,5,1,8
2613,2022.0,15.0,PIT,0,0,2,4,0,5
2614,2022.0,15.0,SEA,0,5,0,6,5,1
2615,2022.0,15.0,SF,6,3,0,2,6,3
2616,2022.0,15.0,TB,4,6,0,3,6,3
2617,2022.0,15.0,TEN,7,0,0,4,7,4
2618,2022.0,15.0,WAS,1,4,0,6,1,7
2619,2022.0,16.0,ARI,3,5,0,6,2,6
2620,2022.0,16.0,ATL,1,0,0,0,2,0
2621,2022.0,16.0,BAL,3,1,0,0,9,2
2622,2022.0,16.0,BUF,2,2,0,7,5,1
2623,2022.0,16.0,CAR,0,0,0,5,1,0
2624,2022.0,16.0,CHI,3,1,3,6,6,1
2625,2022.0,16.0,CIN,1,4,0,7,1,4
2626,2022.0,16.0,CLE,1,1,0,8,1,5
2627,2022.0,16.0,DAL,2,4,0,3,2,3
2628,2022.0,16.0,DEN,1,6,0,2,3,4
2629,2022.0,16.0,DET,3,2,0,4,3,2
2630,2022.0,16.0,GB,0,0,1,6,1,2
2631,2022.0,16.0,HOU,2,4,0,5,5,2
2632,2022.0,16.0,IND,2,0,0,2,2,0
2633,2022.0,16.0,JAX,3,5,0,0,3,5
