season,week,home_team,away_team,total,spread,ml,home_implied_score,away_implied_score,home_score,away_score,home_predicted_score,away_predicted_score,predicted_spread,actual_spread,predicted_total,actual_total,predicted_winner,actual_winner,spread_won,total_won,ml_won
2023,13,CIN,JAX,41.0,10.0,JAX,16.0,26.0,34,31,18.071830668125692,25.103985792220374,7.0321551240946825,-3,43.17581646034607,65,JAX,CIN,True,False,False
2023,13,CLE,LAR,39.5,3.5,LAR,18.0,22.0,19,36,17.958048659684344,21.57690907125789,3.6188604115735465,17,39.53495773094224,55,LAR,LAR,True,False,True
2023,13,DAL,SEA,47.5,-9.5,DAL,28.0,19.0,41,35,28.33174849987383,17.119731098616434,-11.212017401257395,-6,45.451479598490266,76,DAL,DAL,False,False,True
2023,13,DEN,HOU,47.0,3.0,HOU,22.0,25.0,17,22,23.205495053881116,26.54481842929775,3.339323375416633,5,49.750313483178864,39,HOU,HOU,True,False,True
2023,13,DET,NO,47.5,-4.0,DET,26.0,22.0,33,28,25.620253835035218,23.539078687947992,-2.081175147087226,-5,49.159332522983206,61,DET,DET,False,False,True
2023,13,GB,KC,44.0,6.0,KC,19.0,25.0,27,19,18.38823140981904,22.80051316481198,4.412281754992943,-8,41.188744574631016,46,KC,GB,True,False,False
2023,13,IND,TEN,42.0,-1.0,IND,22.0,20.0,31,28,21.85975672480799,20.457400588140686,-1.4023561366673043,-3,42.31715731294868,59,IND,IND,True,False,True
2023,13,LAC,NE,39.0,-4.5,LAC,22.0,17.0,6,0,22.36058034105858,17.388762883827095,-4.971817457231484,-6,39.74934322488568,6,LAC,LAC,True,False,True
2023,13,MIA,WAS,49.5,-9.0,MIA,29.0,20.0,45,15,26.947293266078027,18.78431006368931,-8.162983202388716,-30,45.73160332976734,60,MIA,MIA,False,False,True
2023,13,PHI,SF,46.5,3.0,SF,22.0,25.0,19,42,22.622552578260603,27.043115280933456,4.420562702672854,23,49.66566785919406,61,SF,SF,True,False,True
2023,14,ATL,TB,41.5,-1.5,ATL,22.0,20.0,25,29,20.69128937234187,19.454801876736767,-1.236487495605104,4,40.14609124907864,54,ATL,TB,True,False,False
2023,14,BAL,LAR,42.0,-7.5,BAL,25.0,17.0,37,31,25.601810710298583,17.401495243555377,-8.200315466743206,-6,43.00330595385396,68,BAL,BAL,False,False,True
2023,14,BUF,KC,49.5,2.0,KC,24.0,26.0,20,17,23.87141210585966,24.08925124279236,0.21783913693270307,-3,47.96066334865202,37,KC,BUF,True,True,False
2023,14,CAR,NO,39.0,5.0,NO,17.0,22.0,6,28,18.153144815557177,20.85601461667302,2.702869801115842,22,39.00915943223019,34,NO,NO,False,False,True
2023,14,CHI,DET,44.5,3.0,DET,21.0,24.0,28,13,22.50091821681349,25.52883610076412,3.027917883950632,-15,48.02975431757761,41,DET,CHI,False,False,False
2023,14,CIN,IND,44.5,-3.0,CIN,24.0,21.0,34,14,22.90614009881083,21.80708374160076,-1.0990563572100704,-20,44.71322384041159,48,CIN,CIN,False,False,True
2023,14,CLE,JAX,37.5,-2.0,CLE,20.0,18.0,31,27,17.80504579769837,20.096896466736332,2.291850669037963,-4,37.9019422644347,58,JAX,CLE,False,False,False
2023,14,DAL,PHI,52.5,-3.5,DAL,28.0,24.0,33,13,29.257324794261603,22.858310010488825,-6.3990147837727775,-20,52.11563480475043,46,DAL,DAL,True,True,True
2023,14,DEN,LAC,46.0,3.0,LAC,22.0,24.0,24,7,21.647987300024756,23.882813355171823,2.2348260551470673,-17,45.53080065519658,31,LAC,DEN,True,True,False
2023,14,GB,NYG,37.0,-5.5,GB,21.0,16.0,22,24,23.163649953102478,18.41214394071777,-4.751506012384709,2,41.57579389382025,46,GB,NYG,True,False,False
2023,14,HOU,NYJ,33.5,-3.0,HOU,18.0,15.0,6,30,19.123549009459246,19.298493509524263,0.17494450006501694,24,38.42204251898351,36,NYJ,NYJ,True,False,False
2023,14,LV,MIN,40.5,3.0,MIN,19.0,22.0,0,3,19.735949304333168,23.630320574106626,3.8943712697734583,3,43.366269878439795,3,MIN,MIN,False,False,True
2023,14,MIA,TEN,45.0,-13.5,MIA,29.0,16.0,27,28,27.97726803975354,16.534425872377323,-11.442842167376217,1,44.511693912130866,55,MIA,TEN,True,False,False
2023,14,NE,PIT,30.5,5.0,PIT,13.0,18.0,21,18,16.841187036579186,18.369305030702648,1.5281179941234626,-3,35.210492067281834,39,PIT,NE,True,False,False
2023,14,SEA,SF,44.5,14.5,SF,15.0,30.0,16,28,16.883769497467238,28.43361352295409,11.549844025486852,12,45.31738302042133,44,SF,SF,True,False,True
2023,15,ARI,SF,48.5,11.5,SF,18.0,30.0,29,45,16.626920340752704,27.745174531951065,11.11825419119836,16,44.37209487270377,74,SF,SF,False,False,True
2023,15,ATL,CAR,32.0,-2.5,ATL,17.0,15.0,7,9,18.388877069782925,18.417069096738103,0.028192026955178306,2,36.805946166521025,16,CAR,CAR,True,False,False
2023,15,BAL,JAX,42.5,4.0,JAX,19.0,23.0,23,7,19.8511234490498,20.603914202400233,0.7527907533504319,-16,40.455037651450034,30,JAX,BAL,True,True,False
2023,15,BUF,DAL,49.0,-2.5,BUF,26.0,23.0,31,10,24.99379858705685,23.38361796127289,-1.6101806257839613,-21,48.37741654832974,41,BUF,BUF,False,True,True
2023,15,CHI,CLE,37.5,3.0,CLE,17.0,20.0,17,20,19.18439600152638,17.607165521485,-1.5772304800413792,3,36.79156152301138,37,CHI,CLE,False,True,False
2023,15,CIN,MIN,41.0,-3.0,CIN,22.0,19.0,27,24,21.525500166270504,19.32530024797157,-2.200199918298935,-3,40.85080041424207,51,CIN,CIN,False,False,True
2023,15,DEN,DET,49.0,5.0,DET,22.0,27.0,17,42,21.695354707320753,27.439493689414952,5.744138982094199,25,49.134848396735705,59,DET,DET,True,False,True
2023,15,GB,TB,41.5,-4.0,GB,23.0,19.0,20,34,23.487345937073123,18.306655438059494,-5.180690499013629,14,41.794001375132616,54,GB,TB,False,False,False
2023,15,HOU,TEN,38.0,3.0,TEN,18.0,20.0,19,16,19.065103396181765,20.053981093852535,0.9888776976707696,-3,39.1190844900343,35,TEN,HOU,True,False,False
2023,15,IND,PIT,41.5,-1.0,IND,21.0,20.0,30,13,21.302090717689705,18.215217855010472,-3.0868728626792326,-17,39.51730857270017,43,IND,IND,True,False,True
2023,15,KC,NE,39.5,-9.5,KC,24.0,15.0,27,17,23.6166976996546,17.23410116167965,-6.382596537974951,-10,40.850798861334255,44,KC,KC,False,False,True
2023,15,LAC,LV,35.5,3.0,LV,16.0,16.0,21,63,19.745819374964633,18.99833794742151,-0.7474814275431214,42,38.744157322386144,84,LAC,LV,False,False,False
2023,15,LAR,WAS,48.5,-6.5,LAR,28.0,21.0,28,20,29.988568808570385,21.400166286124893,-8.588402522445492,-8,51.38873509469528,48,LAR,LAR,True,False,True
2023,15,MIA,NYJ,35.5,-7.0,MIA,21.0,14.0,30,0,21.743452142764404,19.00274350879189,-2.7407086339725133,-30,40.74619565155629,30,MIA,MIA,False,False,True
2023,15,NO,NYG,39.5,-6.0,NO,23.0,17.0,24,6,22.05478046003652,18.946789415672296,-3.1079910443642227,-18,41.00156987570881,30,NO,NO,False,False,True
2023,15,PHI,SEA,46.5,-4.0,PHI,25.0,21.0,17,20,26.80478348671653,22.241787119562908,-4.562996367153623,3,49.04657060627944,37,PHI,SEA,False,False,False
2023,16,ARI,CHI,42.0,4.5,CHI,19.0,23.0,16,27,19.74867937482947,20.115760377058216,0.36708100222874407,11,39.86443975188769,43,CHI,CHI,False,False,True
2023,16,ATL,IND,44.5,-2.5,ATL,24.0,21.0,29,10,23.687206302699654,21.87317316899998,-1.8140331336996738,-19,45.56037947169963,39,ATL,ATL,False,False,True
2023,16,BAL,SF,47.5,6.5,SF,20.0,27.0,33,19,19.522479729956586,27.212009379276054,7.689529649319468,-14,46.73448910923264,52,SF,BAL,False,False,False
2023,16,BUF,LAC,44.5,-12.5,BUF,28.0,16.0,24,22,32.46260734427126,18.69070480514318,-13.771902539128082,-2,51.15331214941445,46,BUF,BUF,False,False,True
2023,16,CAR,GB,38.5,3.5,GB,18.0,21.0,30,33,19.87051836961946,21.94357514082442,2.0730567712049606,3,41.81409351044388,63,GB,GB,True,False,True
2023,16,CIN,PIT,39.0,-3.0,CIN,21.0,18.0,11,34,21.969292444884815,18.69995772613612,-3.269334718748695,23,40.669250171020934,45,CIN,PIT,False,False,False
2023,16,CLE,HOU,40.0,-3.0,CLE,22.0,18.0,36,22,20.40320492952945,17.3533973040394,-3.0498076254900504,-14,37.756602233568856,58,CLE,CLE,True,False,True
2023,16,DAL,MIA,48.5,1.5,MIA,24.0,25.0,20,22,23.784438334898095,22.384562834463658,-1.3998755004344368,2,46.16900116936175,42,DAL,MIA,False,True,False
2023,16,DEN,NE,37.5,-7.0,DEN,22.0,15.0,23,26,20.928044221039748,18.24647709882206,-2.6815671222176896,3,39.17452131986181,49,DEN,NE,True,False,False
2023,16,DET,MIN,47.5,-2.5,DET,25.0,22.0,30,24,27.69200064716673,23.45949913121001,-4.23250151595672,-6,51.15149977837674,54,DET,DET,True,False,True
2023,16,JAX,TB,43.0,-2.0,JAX,22.0,20.0,12,30,21.843524909577845,18.453167853580297,-3.3903570559975478,18,40.29669276315814,42,JAX,TB,False,True,False
2023,16,KC,LV,40.5,-11.0,KC,26.0,15.0,14,20,25.33383262822877,17.13552042771093,-8.19831220051784,6,42.4693530559397,34,KC,LV,True,False,False
2023,16,LAR,NO,45.0,-4.0,LAR,24.0,20.0,30,22,23.973802749912608,19.47757042086006,-4.496232329052546,-8,43.45137317077267,52,LAR,LAR,True,False,True
2023,16,NYG,PHI,41.5,14.0,PHI,14.0,28.0,25,33,18.435443145973956,28.734429113553468,10.298985967579512,8,47.16987225952742,58,PHI,PHI,True,False,True
2023,16,NYJ,WAS,37.0,-3.0,NYJ,20.0,17.0,30,28,18.9564719647108,18.492198191815543,-0.4642737728952575,-2,37.44867015652635,58,NYJ,NYJ,True,False,True
2023,16,SEA,TEN,42.0,-3.0,SEA,22.0,20.0,20,17,23.29575968920826,19.26421991720408,-4.03153977200418,-3,42.55997960641234,37,SEA,SEA,False,False,True
2023,17,ARI,PHI,48.0,12.5,PHI,18.0,30.0,35,31,17.39961861989603,27.351247169334204,9.951628549438173,-4,44.75086578923023,66,PHI,ARI,True,False,False
2023,17,ATL,CHI,39.0,2.5,CHI,18.0,21.0,17,37,18.614989373969067,21.32685069071728,2.7118613167482124,20,39.941840064686346,54,CHI,CHI,True,False,True
2023,17,BAL,MIA,46.5,-3.0,BAL,25.0,22.0,56,19,24.20841302687743,24.135844907668254,-0.07256811920917627,-37,48.34425793454568,75,BAL,BAL,False,False,True
2023,17,BUF,NE,40.0,-14.5,BUF,27.0,13.0,27,21,26.996913054183224,17.506659106454283,-9.490253947728942,-6,44.5035721606375,48,BUF,BUF,True,False,True
2023,17,CAR,JAX,37.5,3.5,JAX,17.0,20.0,0,26,20.17123268738125,20.636818652413254,0.46558596503200533,26,40.8080513397945,26,JAX,JAX,False,False,True
2023,17,CIN,KC,46.5,7.0,KC,20.0,27.0,17,25,19.393721464626893,26.2730853376379,6.879363873011009,8,45.666806802264794,42,KC,KC,False,True,True
2023,17,CLE,NYJ,33.5,-7.0,CLE,20.0,13.0,37,20,18.478909302806358,19.15972083804418,0.6808115352378223,-17,37.63863014085054,57,NYJ,CLE,False,False,False
2023,17,DAL,DET,53.0,-4.0,DAL,28.0,24.0,20,19,29.66192972913593,22.349908788200977,-7.3120209409349535,-1,52.01183851733691,39,DAL,DAL,False,True,True
2023,17,DEN,LAC,39.0,-3.5,DEN,21.0,18.0,16,9,20.417282527977342,19.99732376043989,-0.41995876753745165,-7,40.41460628841723,25,DEN,DEN,False,False,True
2023,17,GB,MIN,42.5,1.0,MIN,21.0,22.0,33,10,23.403261540056025,22.904539944660932,-0.498721595395093,-23,46.30780148471696,43,GB,GB,True,False,False
2023,17,HOU,TEN,44.0,-5.0,HOU,24.0,20.0,26,3,23.637643763835808,20.394115584758783,-3.2435281790770247,-23,44.03175934859459,29,HOU,HOU,False,False,True
2023,17,IND,LV,42.0,-3.5,IND,23.0,19.0,23,20,21.61968907193588,18.907319257344852,-2.712369814591028,-3,40.52700832928073,43,IND,IND,True,False,True
2023,17,LAR,NYG,43.5,-6.0,LAR,25.0,19.0,26,25,26.22830871246908,19.36521318901865,-6.863095523450429,-1,45.59352190148773,51,LAR,LAR,False,False,True
2023,17,NO,TB,42.5,2.5,TB,20.0,22.0,23,13,20.40126958654656,23.261145773306353,2.8598761867597915,-10,43.662415359852915,36,TB,NO,False,False,False
2023,17,PIT,SEA,40.5,4.0,SEA,18.0,22.0,30,23,17.997597410242108,24.68560930899873,6.688011898756621,-7,42.683206719240836,53,SEA,PIT,False,False,False
2023,17,SF,WAS,48.5,-14.0,SF,31.0,17.0,27,10,28.246690395899364,17.786074541609096,-10.460615854290268,-17,46.03276493750846,37,SF,SF,False,True,True
2023,18,ARI,SEA,48.0,3.0,SEA,22.0,26.0,20,21,21.764451305281156,24.065559106039284,2.3011078007581283,1,45.830010411320444,41,SEA,SEA,True,True,True
2023,18,ATL,NO,41.5,3.0,NO,19.0,22.0,17,48,19.605209103171127,21.804682899182886,2.199473796011759,31,41.40989200235401,65,NO,NO,False,False,True
2023,18,BAL,PIT,34.0,3.0,PIT,16.0,18.0,10,17,20.284696703890823,17.450040169704444,-2.8346565341863794,7,37.73473687359527,27,BAL,PIT,False,False,False
2023,18,BUF,MIA,48.0,-2.5,BUF,25.0,23.0,21,14,26.51559820267253,24.133154279464563,-2.3824439232079655,-7,50.64875248213709,35,BUF,BUF,False,False,True
2023,18,CAR,TB,36.5,4.5,TB,16.0,20.0,0,9,19.172024473417977,20.9932877097362,1.8212632363182237,9,40.16531218315418,9,TB,TB,False,False,True
2023,18,CHI,GB,46.0,2.5,GB,22.0,24.0,9,17,22.337068874349878,24.66437341561238,2.327304541262503,8,47.001442289962256,26,GB,GB,False,False,True
2023,18,CIN,CLE,37.0,-7.0,CIN,22.0,15.0,31,14,21.315839784950875,17.258081558058656,-4.0577582268922185,-17,38.57392134300953,45,CIN,CIN,False,False,True
2023,18,DAL,WAS,47.5,-13.0,DAL,30.0,17.0,38,10,27.632919134019296,16.772036688679723,-10.860882445339573,-28,44.40495582269902,48,DAL,DAL,False,False,True
2023,18,DEN,LV,37.5,3.5,LV,17.0,17.0,14,27,19.34998219689065,19.208161364221162,-0.14182083266948808,13,38.55814356111181,41,DEN,LV,False,False,False
2023,18,DET,MIN,47.5,-4.0,DET,26.0,22.0,30,20,27.0734635357706,23.121023204716504,-3.9524403310540954,-10,50.19448674048711,50,DET,DET,False,False,True
2023,18,HOU,IND,47.5,-1.0,HOU,24.0,23.0,23,19,24.433840448032818,22.335797911642974,-2.098042536389844,-4,46.769638359675795,42,HOU,HOU,True,True,True
2023,18,JAX,TEN,41.5,-3.5,JAX,22.0,19.0,20,28,21.138510610478008,16.991237262470833,-4.147273348007175,8,38.12974787294884,48,JAX,TEN,False,False,False
2023,18,KC,LAC,35.0,3.5,LAC,16.0,19.0,13,12,20.365235652293414,19.08129383813944,-1.2839418141539731,-1,39.44652949043285,25,KC,KC,True,False,False
2023,18,LAR,SF,40.0,5.5,SF,17.0,23.0,21,20,18.521628288306886,24.874067090865733,6.352438802558847,-1,43.39569537917262,41,SF,LAR,False,False,False
2023,18,NE,NYJ,28.5,-2.0,NE,15.0,13.0,3,17,18.03014959992556,19.86284761176328,1.8326980118377172,14,37.89299721168884,20,NYJ,NYJ,True,False,False
2023,18,NYG,PHI,43.5,5.0,PHI,19.0,24.0,27,10,18.962390102708174,24.58679936701782,5.624409264309648,-17,43.549189469725995,37,PHI,NYG,False,False,False
2023,1,ARI,WAS,38.0,7.0,WAS,16.0,22.0,16,20,17.602571248482217,20.600495294652532,2.997924046170315,4,38.20306654313475,36,WAS,WAS,True,False,True
2023,1,ATL,CAR,39.5,-3.5,ATL,22.0,18.0,24,10,22.154896143248877,18.11307361149425,-4.041822531754626,-14,40.26796975474313,34,ATL,ATL,True,False,True
2023,1,BAL,HOU,43.5,-9.5,BAL,26.0,17.0,25,9,26.308277134117795,18.770808891300565,-7.53746824281723,-16,45.07908602541836,34,BAL,BAL,False,False,True
2023,1,BUF,NYJ,45.5,-2.0,BUF,24.0,22.0,16,22,24.37297080240858,20.901201906688993,-3.4717688957195882,6,45.27417270909757,38,BUF,NYJ,False,True,False
2023,1,CHI,GB,41.5,-1.0,CHI,21.0,20.0,20,38,20.589059381895495,21.526888099337597,0.9378287174421018,18,42.11594748123309,58,GB,GB,True,False,False
2023,1,CIN,CLE,47.5,-2.0,CIN,25.0,23.0,3,24,24.629186143044294,23.33388984475888,-1.2952962982854146,21,47.96307598780317,27,CIN,CLE,True,False,False
2023,1,DAL,NYG,45.0,-3.5,DAL,24.0,21.0,40,0,23.925925743141992,21.341635521736457,-2.584290221405535,-40,45.26756126487845,40,DAL,DAL,False,False,True
2023,1,DEN,LV,43.0,-3.5,DEN,23.0,20.0,16,17,21.32652393511959,20.820951086199077,-0.5055728489205116,1,42.14747502131867,33,DEN,LV,True,True,False
2023,1,DET,KC,53.0,4.5,KC,24.0,29.0,21,20,23.115568060801273,29.451540374567166,6.335972313765893,-1,52.56710843536844,41,KC,DET,False,True,False
2023,1,IND,JAX,46.0,4.5,JAX,21.0,25.0,21,31,20.052828494074067,26.431058188165586,6.3782296940915195,10,46.48388668223966,52,JAX,JAX,True,False,True
2023,1,LAC,MIA,51.0,-3.0,LAC,27.0,24.0,34,36,26.45130756375685,23.860428685846024,-2.590878877910825,2,50.31173624960287,70,LAC,MIA,True,False,False
2023,1,LAR,SEA,46.0,5.0,SEA,20.0,26.0,30,13,19.87389300895203,26.100579305842352,6.226686296890321,-17,45.97447231479438,43,SEA,LAR,False,True,False
2023,1,MIN,TB,46.0,-5.0,MIN,26.0,20.0,17,20,25.23698167984756,18.597871652923885,-6.6391100269236745,3,43.834853332771445,37,MIN,TB,False,True,False
2023,1,NE,PHI,44.5,3.5,PHI,20.0,24.0,20,25,20.060992025456873,24.613691871845724,4.552699846388851,5,44.6746838973026,45,PHI,PHI,True,False,True
2023,1,NO,TEN,41.5,-3.0,NO,22.0,19.0,16,15,20.65155268340201,15.875087214100148,-4.776465469301861,-1,36.52663989750216,31,NO,NO,False,True,True
2023,1,PIT,SF,41.5,2.0,SF,20.0,22.0,7,30,19.78501246060629,24.262251826656236,4.477239366049947,23,44.04726428726252,37,SF,SF,True,False,True
2023,2,ARI,NYG,39.5,4.0,NYG,18.0,22.0,28,31,17.32359281164736,23.66197644756059,6.338383635913232,3,40.98556925920795,59,NYG,NYG,False,False,True
2023,2,ATL,GB,40.0,-1.5,ATL,21.0,19.0,25,24,21.358979136629642,17.19102760901697,-4.167951527612672,-1,38.55000674564661,49,ATL,ATL,False,False,True
2023,2,BAL,CIN,45.5,3.0,CIN,21.0,24.0,27,24,21.823100346180563,23.079619295537345,1.2565189493567814,-3,44.90271964171791,51,CIN,BAL,True,False,False
